Desc	Orthogroup	AmyTra	ArcPla	BomMor	DanPle	EupSim	GynQin	HelArm	LymMon	ManSex	OpeBru	OrgAnt	PluXyl	SpoLit	TriNi
(null)	OG0000267	0	4	10	0	5	2	4	2	4	0	4	1	2	2
(null)	OG0000268	0	4	0	0	0	9	3	2	1	9	1	8	1	2
(null)	OG0000269	0	4	1	2	14	0	0	1	0	0	1	0	11	6
(null)	OG0000270	5	3	1	4	2	1	4	0	2	6	1	3	4	3
(null)	OG0000271	3	5	1	4	2	3	3	4	3	1	3	0	3	4
(null)	OG0000272	4	5	2	2	3	3	3	3	2	1	3	2	3	3
(null)	OG0000273	3	4	3	4	2	2	3	2	3	1	2	3	3	4
(null)	OG0000274	2	4	2	2	1	4	3	5	1	2	5	3	3	2
(null)	OG0000275	3	3	2	3	2	2	3	4	3	2	2	3	3	4
(null)	OG0000276	3	2	2	4	3	2	3	3	3	2	2	3	4	3
(null)	OG0000277	1	5	1	2	4	5	3	3	2	2	4	1	2	4
(null)	OG0000278	1	3	2	3	2	4	2	6	2	1	3	2	4	4
(null)	OG0000279	0	6	1	0	0	18	0	5	4	0	1	0	1	3
(null)	OG0000280	0	0	0	0	39	0	0	0	0	0	0	0	0	0
(null)	OG0000281	3	2	1	2	2	1	1	6	4	5	5	4	1	1
(null)	OG0000282	3	2	2	2	2	2	3	2	2	4	2	2	8	2
(null)	OG0000283	3	3	2	3	2	3	4	3	3	1	2	3	2	4
(null)	OG0000284	4	3	3	5	2	1	2	3	2	3	3	2	2	3
(null)	OG0000285	4	2	4	1	2	2	3	3	3	2	2	4	3	3
(null)	OG0000286	3	3	3	2	1	2	4	3	2	2	2	2	5	4
(null)	OG0000287	1	2	1	2	4	2	0	4	5	0	0	1	3	13
(null)	OG0000288	1	4	7	2	3	2	1	2	6	3	2	3	1	1
(null)	OG0000289	4	3	2	1	2	4	2	5	2	2	4	3	2	2
(null)	OG0000290	1	1	1	1	1	1	1	1	2	23	1	1	1	1
(null)	OG0000291	3	10	0	0	0	5	2	0	0	11	0	4	0	2
(null)	OG0000292	4	5	1	1	0	2	2	4	2	3	4	0	5	4
(null)	OG0000293	3	5	1	7	2	2	5	1	1	2	2	1	4	1
(null)	OG0000294	3	2	0	2	2	5	4	4	3	2	2	2	4	2
(null)	OG0000295	3	2	3	2	3	3	2	3	3	3	3	1	3	3
(null)	OG0000296	4	4	0	2	3	2	4	2	3	1	2	2	4	4
(null)	OG0000297	2	6	1	2	3	2	5	2	1	5	2	1	2	3
(null)	OG0000298	1	1	0	2	2	11	1	6	1	0	9	1	1	1
(null)	OG0000299	2	0	0	0	2	0	2	2	1	8	1	3	3	13
(null)	OG0000300	1	4	0	2	5	1	7	3	2	1	4	2	3	2
(null)	OG0000301	1	4	3	3	1	17	1	1	1	1	1	1	1	1
(null)	OG0000302	0	2	0	0	2	10	0	1	0	1	18	1	2	0
(null)	OG0000303	0	3	4	0	3	3	1	2	3	11	3	0	3	1
(null)	OG0000304	0	1	4	0	1	0	5	0	0	9	0	11	5	1
(null)	OG0000305	9	2	2	1	1	2	4	2	3	2	2	1	3	2
